ResourceARN,Region,TaggingMethod,TagsApplied,Status
arn:aws:iam::015992161532:policy/service-role/AmazonGrafanaPrometheusPolicy-RriSPmhJK,us-east-1,-,-,NO_MATCH
arn:aws:iam::015992161532:role/EKSNodeRole_mubarak,us-east-1,-,-,NO_MATCH
arn:aws:glue:us-east-1:015992161532:table/momentum/loan_amounts_cumulative_2,us-east-1,-,-,NO_MATCH
arn:aws:iam::015992161532:role/aws-service-role/backup.amazonaws.com/AWSServiceRoleForBackup,us-east-1,resourcegroupstaggingapi,"{'Application': 'backup', 'Owner': 'ec2'}",DRY-RUN
arn:aws:ec2:ap-south-1:015992161532:security-group/sg-03c573d716a43a91e,ap-south-1,-,-,NO_MATCH
arn:aws:ec2:ap-south-1:015992161532:security-group/sg-0b8743b39d0653a5e,ap-south-1,-,-,NO_MATCH
arn:aws:memorydb:ap-south-1:015992161532:parametergroup/default.memorydb-valkey7,ap-south-1,-,-,NO_MATCH
arn:aws:ec2:us-west-1:015992161532:key-pair/key-08508ca9b42fbdd9b,us-west-1,-,-,NO_MATCH
arn:aws:sns:us-east-2:015992161532:DemoNotificationRule,us-east-2,-,-,NO_MATCH
arn:aws:ec2:us-east-1:015992161532:key-pair/key-05db0c57641921cdd,us-east-1,-,-,NO_MATCH
arn:aws:ec2:eu-west-3:015992161532:subnet/subnet-09e21d50aa44783cd,eu-west-3,-,-,NO_MATCH
arn:aws:logs:us-east-2:015992161532:log-group:/metrics/PetAdoptionsHistory,us-east-2,-,-,NO_MATCH
arn:aws:logs:us-east-1:015992161532:log-group:/aws-glue/ml-transforms/error,us-east-1,-,-,NO_MATCH
arn:aws:logs:us-east-1:015992161532:log-group:/aws/codebuild/glueworkshop-cicdinitCommit,us-east-1,-,-,NO_MATCH
arn:aws:ec2:ap-northeast-2:015992161532:security-group/sg-0f2047a41b82facdf,ap-northeast-2,-,-,NO_MATCH
arn:aws:glue:us-east-1:015992161532:table/default/cra_audit_spl,us-east-1,-,-,NO_MATCH
arn:aws:kms:us-east-1:015992161532:key/7dea82d8-58e1-414b-b322-eea0835e3870,us-east-1,-,-,NO_MATCH
arn:aws:elasticache:eu-central-1:015992161532:user:default,eu-central-1,-,-,NO_MATCH
arn:aws:cloudformation:eu-central-1:015992161532:stackset/AWSControlTowerBP-BASELINE-CLOUDWATCH:a9613e1b-8ef1-436b-809e-db7dba300da5,eu-central-1,-,-,NO_MATCH
arn:aws:ec2:us-east-1:015992161532:security-group-rule/sgr-0df9df499d91239f8,us-east-1,-,-,NO_MATCH
arn:aws:ec2:sa-east-1:015992161532:subnet/subnet-0c456559538c3e9ad,sa-east-1,-,-,NO_MATCH
arn:aws:ecs:eu-central-1:015992161532:capacity-provider/FARGATE_SPOT,eu-central-1,-,-,NO_MATCH
arn:aws:memorydb:eu-central-1:015992161532:acl/open-access,eu-central-1,-,-,NO_MATCH
arn:aws:memorydb:eu-west-3:015992161532:acl/open-access,eu-west-3,-,-,NO_MATCH
arn:aws:ec2:ap-south-1:015992161532:security-group-rule/sgr-051547601d411f1b3,ap-south-1,-,-,NO_MATCH
arn:aws:iam::015992161532:role/service-role/AWSSystemsManagerDefaultEC2InstanceManagementRole,us-east-1,-,-,NO_MATCH
arn:aws:ec2:ap-southeast-1:015992161532:security-group-rule/sgr-00d46eddf9efbe1bd,ap-southeast-1,-,-,NO_MATCH
arn:aws:s3:::quant-dev-bucket,us-east-1,resourcegroupstaggingapi,{'Environment': 'dev'},DRY-RUN
arn:aws:iam::015992161532:role/aws-service-role/inspector2.amazonaws.com/AWSServiceRoleForAmazonInspector2,us-east-1,-,-,NO_MATCH
arn:aws:logs:us-east-1:015992161532:log-group:jupyternotebook/output,us-east-1,-,-,NO_MATCH
arn:aws:secretsmanager:us-east-1:015992161532:secret:EnK7JbM5XAXDYB9Z0yHG-y1sgwK,us-east-1,-,-,NO_MATCH
arn:aws:cloud9:us-east-1:015992161532:environment:3a0fb9ce75a8450fba92c61e0b70d589,us-east-1,-,-,NO_MATCH
arn:aws:lookoutvision:us-east-2:015992161532:project/lookoutforvision-demo,us-east-2,-,-,NO_MATCH
arn:aws:kms:eu-central-1:015992161532:key/1233993b-f45b-42e7-b2a9-eeb66e135818,eu-central-1,-,-,NO_MATCH
arn:aws:logs:us-east-2:015992161532:log-group:/aws/lambda/Services-awscdkawseksKube-ProviderframeworkonEvent-hd0ivS5yjrbg,us-east-2,-,-,NO_MATCH
arn:aws:ec2:us-east-2:015992161532:security-group-rule/sgr-047c59b01ec03c521,us-east-2,-,-,NO_MATCH
arn:aws:glue:us-east-1:015992161532:crawler/CrossWalker Crawler,us-east-1,-,-,NO_MATCH
arn:aws:rds:us-east-1:015992161532:og:default:postgres-16,us-east-1,-,-,NO_MATCH
arn:aws:rds:us-east-1:015992161532:pg:default.postgres14,us-east-1,-,-,NO_MATCH
arn:aws:iam::015992161532:role/aws-service-role/discovery.wellarchitected.amazonaws.com/AWSServiceRoleForWellArchitected_Discovery,us-east-1,-,-,NO_MATCH
arn:aws:athena:ap-southeast-1:015992161532:workgroup/primary,ap-southeast-1,-,-,NO_MATCH
arn:aws:ec2:eu-central-1:015992161532:security-group/sg-0eb526aa7318b77d8,eu-central-1,-,-,NO_MATCH
arn:aws:memorydb:eu-north-1:015992161532:parametergroup/default.memorydb-redis7,eu-north-1,-,-,NO_MATCH
arn:aws:events:ap-northeast-2:015992161532:event-bus/default,ap-northeast-2,-,-,NO_MATCH
